holder_id,holder_name
423,COSMO ONLINE COSMETICS (M) SDN. BHD.
424,COSMOGALA RESOURCES SDN.BHD.
425,COSMYTHS PHARMACEUTICALS SDN BHD
426,COSPHARM ENTERPRISE
427,COSWORLD BEAUTE WELLNESS
428,COTY INT MALAYSIA SDN. BHD.
429,COUNTRY FARMS SDN. BHD.
430,CPG COSMETIC
431,CR ORGANICS AUSTRALIA ENTERPRISE
432,CRAFT INTERNATIONALS GROUP SDN. BHD.
433,CREA MALAYSIA SDN. BHD.
434,CREATE HUB (M) SDN BHD
435,CRISTELE COSMETICS SDN. BHD.
436,CRYSTALLITE TRADING
437,CS12 BEAUTY INTERNATIONAL SDN BHD
438,CSL BEAUTY ENTERPRISE
439,CT 8 TRADING
440,CU MEDI HOLDINGS SDN. BHD. 
441,CUBRE MI SDN. BHD.
442,CUCKOO INTERNATIONAL (MAL) SDN. BHD.
443,CYC BEAUTY CHOOSE MARKETING
444,CYLIN COSMETIC SDN. BHD.
445,Cansun Cosme Sdn. Bhd.
446,Caremore Personal Care (M) Sdn. Bhd.
447,Carepro Marketing Sdn. Bhd.
448,Cason Group Sdn. Bhd.
449,Casseree France Sdn Bhd
450,Cavico (M) Sdn Bhd
451,Centureon Technology Group PLT
452,Cheng Xiong Hair Saloon Supplier
453,Citraria Health & Cosmetics Marketing Sdn. Bhd.
454,Claire Organics
455,Classicor Trading
456,Colgate-Palmolive (Marketing) Sdn Bhd
457,Cosderm Sdn Bhd
458,Cosette 203 Enterprise
459,Cosmeceutical Concept Sdn. Bhd.
460,Cosmos Beauty Sdn. Bhd.
461,Creamora HQ Global
462,Cyren Marketing Sdn Bhd
463,D AINS BEAUTY EMPIRE SDN. BHD
464,D AMAN KOSMETIK & ENTERPRISE
465,D ROSES COLLECTION & BEAUTY RESOURCES
466,DAISY PRODUCT MARKETING SDN. BHD.
467,DANNY HAIR ACADEMY SDN. BHD.
468,DANZ GROUP (MALAYSIA) SDN. BHD.
469,DATTA SHREE SDN. BHD.
470,DAZZLING TRADING SDN.  BHD.
471,DBOTAVA BEAUTY
472,DCH AURIGA (MALAYSIA) SDN. BHD.
473,DE BEAUTY GARDEN CONCEPTS
474,DE BELLA BEAUTY SALON
475,DE COSMECEUTICAL SDN. BHD.
476,DE COSMETICS MALAYSIA SDN BHD
477,DE HAIR & BEAUTY ENTERPRISE
478,DE ILHAM ENTERPRISE
479,DE ORTUS SDN. BHD.
480,DE VINCE TRADING
481,DEANNE TRADING SDN. BHD.
482,DEAR PETAL SDN BHD
483,DEBBIE NG YOKE CHING
484,DECHO SDN. BHD.
485,DEEDAA SHOP
486,DEFACTO RETAIL (MALAYSIA) SDN BHD
487,DELCOL INDUSTRIES (M) SDN BHD
488,DELFI MARKETING SDN.BHD.
489,DELPHIN SDN BHD
490,DENZEL SERVICES GROUP SDN. BHD.
491,DEPCO UNITED SDN.  BHD.
492,DERMAC INTERNATIONAL SDN BHD
493,DERMAGENIX LABS SDN. BHD.
494,DERMAJASS SDN BHD
495,DERMAL ESSENCE (M) SDN. BHD.
496,DERMALITE SDN BHD
497,DERMAMEDPLUS PERSONAL CARE
498,DERMARYN ENTERPRISE
499,DERMATICS SKIN HEALTH SDN BHD
500,DERMIQUE COSMECEUTICALS SDN BHD
501,DESANGEL SDN. BHD.
502,DESHA ENTERPRISE
503,DESS PERFUME SDN. BHD.
504,DEVISA SKINPHOREA SKINCARE
505,DFACE HEALTHCARE SDN. BHD.
506,DHILEESA BEAUTY CENTRE
507,DIAMOND LOOK GROUP BUSINESS
508,DIAN BERKAT ENTERPRISE 
509,DIAN YA ENTERPRISE
510,DIANA BEAUTY SALON
511,DIARRA SDN. BHD.
512,DIGITAL CROWN HOLDINGS SDN. BHD.
513,DIMENSI MODA SDN BHD
514,DIONE HEALTHCARE HOLDINGS MALAYSIA SDN. BHD.
515,DIRRAN ORGANIC SDN. BHD.
516,DIVERSEY (MALAYSIA) SDN. BHD.
517,DIVERSIFIED TEAM SDN. BHD.
518,DKD SMART ENTERPRISE
519,DKSH MALAYSIA SDN. BHD.
520,DM BEAUTY RESOURCES
521,DMI PREMIER SDN BHD
522,DML EMPIRE
523,DMM COSME MARKETING
524,DMS MEDHEALTH PLT
525,DNG WORLDWIDE SDN. BHD.
526,DNO WELLNESS SDN. BHD.
527,DOMAIN BEAUTY MAKE
528,DOTERRA MALAYSIA SDN. BHD.
529,DPC COSMETIC SDN. BHD.
530,DR ORIZI (M) SDN. BHD.
531,DR VIN LIFE GLOBAL
532,DR. ARIEL CHANG CLINIC SDN BHD
533,DR. CUTE INTERNATIONAL SDN. BHD.
534,DR. WOLFF MALAYSIA TRADING SDN. BHD.
535,DR.GLOW MEDISPA SDN. BHD.
536,DRAGON GINSENG ENTERPRISE SDN BHD
537,DRI`N GUARD SDN. BHD.
538,DRSK SKINCARE VENTURES
539,DTS SKINCARE  INDUSTRIES  SDN.BHD
540,DUA BEAUTY SDN. BHD. 
541,DUCHESS MERCANTILES SDN. BHD.
542,DUNIA HERBS SALES & MARKETING SDN BHD
543,DXN INDUSTRIES (M) SDN. BHD.
544,DYNACOSMOS CARE PRODUCTS SDN. BHD.
545,DYXY INTERNATIONAL SDN BHD
546,DZ SMART LAB SDN.BHD.
547,D`HERBS HOLDINGS (M) SDN BHD
548,De Blanc Advance Dermatology (ap) Sdn Bhd
549,De Deux Cosmetics Sdn Bhd
550,De Formulated Lab Sdn Bhd
551,De Perle Sdn. Bhd.
552,Deacon Medical Sdn Bhd
553,Decathlon Malaysia Sdn Bhd 
554,Defe Marketing SDN. BHD.
555,Delta Medisains (m) Sdn Bhd
556,Deluv Sdn. Bhd. 
557,Denz Technology Sdn Bhd
558,Dermaclinique Sdn Bhd
559,Dermal Sanctuary Beauty & Treatment Salon
560,Devon Laboratories M Sdn. Bhd.
561,Dfino Gallery Sdn Bhd
562,Doclab Global Sdn. Bhd.
563,Dr Foerster (M) Sdn. Bhd.
564,Dry Cut Sdn Bhd
565,E & S ESPRIT SDN BHD
566,E HEALTH SDN. BHD.
567,E SKIN MARKETING
568,E-YI MYSTERY BEAUTY
569,EAM MEDICO SDN. BHD.
570,EAMAS HAIR & BEAUTY SALON SDN BHD
571,EASTERN COSMECEUTICAL
572,EASTREET TRADER CORPORATION SDN. BHD.
573,EC SKIN LASER AESTHETIC SDN. BHD.
574,ECO FORMULARY SDN. BHD.
575,ECO GENESIS HOLDINGS
